building_location,building_price_hkd_mean
Tai Wo Estate,257.48571428571427
Choi Ha Estate,254.88888888888889
Tin Ping Estate,254.69565217391303
Cheung Fat Estate,253.2258064516129
Cheung On Estate,252.71428571428572
Heng On Estate,252.47457627118644
Lei Tung Estate,250.96969696969697
Tsing Yi Estate,248.68085106382978
Wan Tau Tong Estate,247.84782608695653
Pok Hong Estate,247.29591836734693
Tai Ping Estate,242.95454545454547
Wah Ming Estate,241.7982456140351
Tsui Ping (North) Estate,240.0253164556962
Fu Heng Estate,237.9558823529412
Fu Shin Estate,234.08620689655172
Cheung Wah Estate,231.49180327868854
Tin King Estate,214.9344262295082
Kin Sang Estate,207.11475409836066
Leung King Estate,201.3125
Long Ping Estate,189.40677966101694
Shan King Estate,184.546875
